Recipies,Restaurant,Address,, , 
 Veg FriedRice(special),Hotlines Foodcourt,"21-1-8, Mohan Plaza, JP Road, Bhimavaram Locality, Bhimavaram, Andhra Pradesh",,,
Chicken Fried Rice,Falcons Nest,"172/5, Coastal City Centre, Undi Road, Bhimavaram, Andhra Pradesh 534202",,,
All Non-Veg FriedRice,Hotlines Foodcourt,"21-1-8, Mohan Plaza, JP Road, Bhimavaram Locality, Bhimavaram, Andhra Pradesh",,,
Veg Biryani,Falcons Nest,"172/5, Coastal City Centre, Undi Road, Bhimavaram, Andhra Pradesh 534202",,,
All Types of Non Veg Biryanis,Chandrika Restaurant,"D.N.R College Road, Bhimavaram Locality, Bhimavaram, Andhra Pradesh",,,
All Types of Manchoorias,Leelakrishna Spice Magic,"3-1-179, Hotel Grand Leela Krishna, Undi Road, Bhimavaram, Andhra Pradesh 534202",,,
Noodles,Falcons Nest,"172/5, Coastal City Centre, Undi Road, Bhimavaram, Andhra Pradesh 534202",,,
Pizza,Dominos  Pizza Restaurant,"SH 19, Bhimavaram, Andhra Pradesh, India",,,
Burger and Sandwitch,Dominos Pizza Restaurant,"SH 19, Bhimavaram, Andhra Pradesh, India",,,
Tiffins,Ganesh Canteen,"2-1-22/1, JP Road, Bhimavaram Locality, Bhimavaram, Andhra Pradesh",,,
Meals,Suprabath Restaurant,"3-1-87, Beside Kishore Petrol Bunk, Bhimavaram Locality, Bhimavaram, Andhra Pradesh",,,
"Curries(All Veg,Non-veg)",Hotlines Foodcourt,"21-1-8, Mohan Plaza, JP Road, Bhimavaram Locality, Bhimavaram, Andhra Pradesh",,,
Samosa and Punukulu,Shankar Punukulu,"Near City Cable Office,Srirampuram,Bhimavaram",,,
Icecreams,Rama Ice Parlour,"PP Road, Bhimavaram, Andhra Pradesh 534202",,,
